method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
GET,,${url},${url},src/components/AutomatedTesting/TestScenarioExecute/List/Videos.vue,152,3,src/components/AutomatedTesting/TestScenarioExecute/List/Videos.vue src/service/index.ts,
GET,/auth/preference/clientCache/:param/:param,/auth/preference/clientCache/${encodeKey}/${project},auth/preference/clientCache/${encodeKey}/${project},src/service/Api/PrimaryService/PrimaryCached.ts,128,1,src/service/Api/PrimaryService/PrimaryCached.ts,
GET,/plugin/api/cookie,/plugin/api/cookie,plugin/api/cookie,src/service/Api/Local/index.ts,10,1,src/service/Api/Local/index.ts,
GET,/plugin/api/database/connectTest,/plugin/api/database/connectTest,plugin/api/database/connectTest,src/service/Api/Local/index.ts,80,2,src/service/Api/Local/index.ts src/service/Api/Setting/PublicDatabaseService.ts,
GET,/plugin/api/file/attachment/:param,${TEST_URL_PTRFIX}/api/file/attachment/${id},${TEST_URL_PTRFIX}/api/file/attachment/:id,src/service/Api/TestScenarioExecute/index.ts,138,1,src/service/Api/TestScenarioExecute/index.ts,
GET,/plugin/api/job/refresh,/plugin/api/job/refresh,plugin/api/job/refresh,src/service/Api/TimedTask/index.ts,77,1,src/service/Api/TimedTask/index.ts,
GET,/plugin/api/log/download/id/:param,/plugin/api/log/download/id/${id},plugin/api/log/download/id/:id,src/service/Api/Local/index.ts,189,1,src/service/Api/Local/index.ts,
GET,/plugin/api/log/id/:param,${TEST_URL_API}/log/id/${state.id},${TEST_URL_API}/log/id/:state.id,src/service/Api/TestScenarioReport/index.ts,87,2,src/service/Api/TestScenarioReport/index.ts src/service/Api/TestScenarioExecute/index.ts,
GET,/plugin/api/log/list,/plugin/api/log/list,plugin/api/log/list,src/service/Api/TestScenarioExecute/index.ts,106,1,src/service/Api/TestScenarioExecute/index.ts,
GET,/plugin/api/param,/plugin/api/param,plugin/api/param,src/service/Api/Local/index.ts,90,5,src/service/Api/Local/index.ts src/service/Api/Setting/EnvVariablesService.ts src/service/Api/Setting/PublicVariablesService.ts,
GET,/plugin/api/refresh/all,/plugin/api/refresh/all,plugin/api/refresh/all,src/service/Api/Local/index.ts,135,1,src/service/Api/Local/index.ts,
GET,/plugin/api/refresh/api,/plugin/api/refresh/api,plugin/api/refresh/api,src/service/Api/Local/index.ts,127,1,src/service/Api/Local/index.ts,
GET,/plugin/api/report,/plugin/api/report,plugin/api/report,src/service/Api/TestScenarioExecute/index.ts,89,2,src/service/Api/TestScenarioExecute/index.ts,
GET,/plugin/api/report/attachment,${TEST_URL_PTRFIX}/api/report/attachment?id=${id},${TEST_URL_PTRFIX}/api/report/attachment?id=:id,src/service/Api/TestScenarioExecute/index.ts,129,1,src/service/Api/TestScenarioExecute/index.ts,
GET,/plugin/api/setting,/plugin/api/setting,plugin/api/setting,src/service/Api/Local/index.ts,26,3,src/service/Api/Local/index.ts src/service/Api/Setting/PublicApiSettingService.ts,
GET,/plugin/user,${TEST_URL_PTRFIX}/user,${TEST_URL_PTRFIX}/user,src/service/Api/User/index.ts,20,1,src/service/Api/User/index.ts,
GET,/plugin/web/core/getAppId,${TEST_URL_PTRFIX}/web/core/getAppId,${TEST_URL_PTRFIX}/web/core/getAppId,src/service/Api/Global/index.ts,55,1,src/service/Api/Global/index.ts,
GET,/plugin/web/plugin/getInfo,${TEST_URL_PTRFIX}/web/plugin/getInfo,${TEST_URL_PTRFIX}/web/plugin/getInfo,src/service/Api/plugin/index.ts,20,1,src/service/Api/plugin/index.ts,
GET,/plugin/web/plugin/getThreadInfos,${TEST_URL_PTRFIX}/web/plugin/getThreadInfos,${TEST_URL_PTRFIX}/web/plugin/getThreadInfos,src/service/Api/plugin/index.ts,24,3,src/service/Api/plugin/index.ts src/service/Api/Local/index.ts src/view/PageFooter/Main.vue,
GET,/plugin/web/plugin/update,${TEST_URL_PTRFIX}/web/plugin/update,${TEST_URL_PTRFIX}/web/plugin/update,src/service/Api/plugin/index.ts,28,3,src/service/Api/plugin/index.ts src/service/Api/Local/index.ts src/view/PageFooter/Main.vue,
GET,/rest/account/account,/rest/account/account,rest/account/account,src/service/Api/User/index.ts,39,3,src/service/Api/User/index.ts,
