method,real_path,raw_pattern,definition,usage_count,usage_files
DELETE,/rest/quality/a/{appId}/api/case/delete,${CASE_URL(aid)}/delete,src/service/Api/ApiCase/index.ts:50,1,src/service/Api/ApiCase/index.ts
DELETE,/rest/quality/a/{appId}/api/scenario/delete,${scope(options.appId)}/api/scenario/delete,src/service/Api/TestScenario/index.ts:168,1,src/service/Api/TestScenario/index.ts
DELETE,/rest/quality/a/{appId}/api/scenario/group,${scope(options.appId)}/group,src/service/Api/TestScenarioGroup/index.ts:108,1,src/service/Api/TestScenarioGroup/index.ts
DELETE,/rest/quality/a/{appId}/api/service/:param,${QUALITY_URL(option.aid)}/api/service/${state.id},src/service/Api/Setting/index.ts:173,1,src/service/Api/Setting/index.ts
DELETE,/rest/quality/a/{appId}/api/test/data/delete,${scope(options.appId)}/delete,src/service/Api/TestScenarioData/index.ts:64,1,src/service/Api/TestScenarioData/index.ts
DELETE,/rest/quality/a/{appId}/api/test/setting/removeItem,${URL(option.aid)}/removeItem,src/service/Api/Setting/index.ts:77,1,src/service/Api/Setting/index.ts
DELETE,/rest/quality/a/{appId}/apiDefinition/delete,${URL(aid)}/delete,src/service/Api/ApiDefinition/index.ts:47,2,src/service/Api/ApiDefinition/index.ts | src/service/Api/ApiGroup/index.ts
DELETE,/rest/quality/a/{appId}/apiDefinition/deleteAllEdition,${URL(aid)}/deleteAllEdition,src/service/Api/ApiDefinition/index.ts:56,1,src/service/Api/ApiDefinition/index.ts
DELETE,/rest/quality/a/{appId}/apiDefinition/mock/remove,${URL(aid)}/mock/remove,src/service/Api/ApiDefinition/index.ts:83,1,src/service/Api/ApiDefinition/index.ts
DELETE,/rest/quality/a/{appId}/apiGroup/deleteCustomPage,${URL(aid)}/deleteCustomPage,src/service/Api/ApiGroup/index.ts:89,1,src/service/Api/ApiGroup/index.ts
DELETE,/rest/quality/a/{appId}/apiGroup/deleteObjectModel,${URL(aid)}/deleteObjectModel,src/service/Api/ApiGroup/index.ts:120,1,src/service/Api/ApiGroup/index.ts
GET,${url},${url},src/components/AutomatedTesting/TestScenarioExecute/List/Videos.vue:152,3,src/components/AutomatedTesting/TestScenarioExecute/List/Videos.vue | src/service/index.ts
GET,/auth/preference/clientCache/:param/:param,/auth/preference/clientCache/${encodeKey}/${project},src/service/Api/PrimaryService/PrimaryCached.ts:128,1,src/service/Api/PrimaryService/PrimaryCached.ts
GET,/plugin/api/cookie,/plugin/api/cookie,src/service/Api/Local/index.ts:10,1,src/service/Api/Local/index.ts
GET,/plugin/api/database/connectTest,/plugin/api/database/connectTest,src/service/Api/Local/index.ts:80,2,src/service/Api/Local/index.ts | src/service/Api/Setting/PublicDatabaseService.ts
